Código da Engenharia;Descrição da Engenharia;Faturamento Médio;Quantidade em Estoque;Ordem de Fabricação Aberto;Comprometido;Disponível;Estoque Mínimo;Balanço;Prazo Produção;Máscara;Unidade de Medida;Peso Unitário;Peso Total;Lote!Econômico;Lote de!Produção;
3;"LIGA NEUTRA LEACREM 5 2,5Kg";"0,000";"0,000";0;"0,000";"0,000";"300,000";"-300,000";;1.01.02.18;kg;"1,000";"300,000";"0,000";"300,000";
4;"LIGA NEUTRA LEACREM 10Q 2,5 Kg";"0,000";"160,000";0;"0,000";"160,000";"200,000";"-40,000";;1.01.02.12;kg;"1,000";"40,000";"0,000";"300,000";
5;G.I COOKIES 50 4 Kg;"0,000";"196,000";0;"64,000";"132,000";"0,000";"132,000";;1.22.40.08;kg;"1,000";"132,000";"0,000";"120,000";
6;"LIGA NEUTRA EXPRESSO FACIL 2,5 Kg";"0,000";"0,000";0;"0,000";"0,000";"300,000";"-300,000";;1.01.02.01;kg;"1,000";"300,000";"0,000";"300,000";
8;"FRUTOSA 2,5 Kg";"0,000";"802,500";0;"72,500";"730,000";"600,000";"130,000";;1.01.02.02;kg;"1,000";"130,000";"0,000";"300,000";
9;"LIGA NEUTRA LEAFRUTA 5 2,5 KG";"0,000";"565,000";0;"15,000";"550,000";"200,000";"350,000";;1.01.02.10;kg;"1,000";"350,000";"0,000";"300,000";
10;"LIGA NEUTRA LEAFRUTA 10Q 2,5 KG";"0,000";"70,000";0;"25,000";"45,000";"300,000";"-255,000";;1.01.02.34;kg;"1,000";"255,000";"0,000";"300,000";
11;"LIGA NEUTRA LEAFRUTA 10F 2,5 KG";"0,000";"1.047,500";"900,300";"410,000";"1.537,800";"300,000";"1.237,800";;1.01.02.09;kg;"1,000";"1,237";"0,000";"300,000";
12;"DLY 2,5 Kg";"0,000";"480,000";"900,500";"335,000";"1.045,500";"1.600,000";"-554,500";;1.02.02.05;kg;"1,000";"554,000";"0,000";"300,000";
13;"CREMEPLUS 2,5 Kg";"0,000";"1.755,000";"900,500";"662,500";"1.993,000";"1.500,000";"493,000";;1.02.02.03;kg;"1,000";"493,000";"0,000";"300,000";
16;"LEAPLUMA NEUTRO 2,5 Kg";"0,000";"1.282,500";0;"242,500";"1.040,000";"1.000,000";"40,000";;1.03.02.05;kg;"1,000";"40,000";"0,000";"300,000";
17;BONIFICADOR 80g para Pasta Limonella 2kg;"0,000";"0,160";"64,000";"0,000";"64,160";"0,000";"64,160";;1.08.02.27;kg;"1,000";"64,000";"0,000";"0,000";
18;G.I COOKIES 50 200g;"0,000";"9,400";0;"0,000";"9,400";"0,000";"9,400";;1.22.99.01;kg;"1,000";"9,000";"0,000";"8,000";
19;G.I COCCO 4 Kg;"0,000";"52,000";0;"76,000";"-24,000";"0,000";"-24,000";;1.22.40.01;kg;"1,000";"24,000";"0,000";"300,000";
20;PASTA AMENDOIM 2 Kg;"0,000";"144,000";"450,000";"34,000";"560,000";"200,000";"360,000";;1.04.02.02;kg;"1,000";"360,000";"0,000";"120,000";
21;PASTA BISCOITO 2 Kg;"0,000";"616,000";"1.200,000";"442,000";"1.374,000";"1.500,000";"-126,000";;1.04.02.04;kg;"1,000";"126,000";"0,000";"400,000";
22;PASTA BRIGADEIRO 2 Kg;"0,000";"110,000";"450,000";"74,000";"486,000";"100,000";"386,000";;1.04.02.05;kg;"1,000";"386,000";"0,000";"300,000";
23;PASTA CAPPUCCINO 2 Kg;"0,000";"292,000";"100,000";"74,000";"318,000";"300,000";"18,000";;1.04.02.07;kg;"1,000";"18,000";"0,000";"120,000";
24;PASTA CHICLETES 2 Kg;"0,000";"156,000";"100,000";"32,000";"224,000";"300,000";"-76,000";;1.04.02.11;kg;"1,000";"76,000";"0,000";"120,000";
25;PASTA CHOCOLATE BRANCO 2 Kg;"0,000";"132,000";"600,000";"208,000";"524,000";"500,000";"24,000";;1.04.02.12;kg;"1,000";"24,000";"0,000";"300,000";
26;PASTA CHOCOLATE C/ AVELA 2 Kg;"0,000";"270,000";"300,000";"290,000";"280,000";"800,000";"-520,000";;1.04.02.13;kg;"1,000";"520,000";"0,000";"400,000";
27;PASTA CREME BAUNILHA 2 Kg;"0,000";"618,000";"600,000";"140,000";"1.078,000";"600,000";"478,000";;1.04.02.15;kg;"1,000";"478,000";"0,000";"300,000";
28;PASTA CREME CONFEITEIRA 2 Kg;"0,000";"100,000";0;"68,000";"32,000";"40,000";"-8,000";;1.04.02.16;kg;"1,000";"8,000";"0,000";"120,000";
29;PASTA DOCE DE LEITE 2 Kg;"0,000";"420,000";"400,000";"106,000";"714,000";"240,000";"474,000";;1.04.02.17;kg;"1,000";"474,000";"0,000";"120,000";
30;G.I COCCO 200g;"0,000";"10,600";0;"0,000";"10,600";"0,000";"10,600";;1.22.99.02;kg;"1,000";"10,000";"0,000";"8,000";
31;PASTA LEITE CONDENSADO 2 Kg;"0,000";"1.428,000";"2.400,000";"648,000";"3.180,000";"1.200,000";"1.980,000";;1.04.02.25;kg;"1,000";"1,980";"0,000";"400,000";
32;PASTA MENTA 2 Kg;"0,000";"508,000";"448,000";"360,000";"596,000";"500,000";"96,000";;1.04.02.28;kg;"1,000";"96,000";"0,000";"300,000";
33;PASTA NATA 2 Kg;"0,000";"446,000";"1.300,000";"220,000";"1.526,000";"450,000";"1.076,000";;1.04.02.32;kg;"1,000";"1,076";"0,000";"400,000";
34;PASTA PANETONE 2 Kg;"0,000";"56,000";0;"32,000";"24,000";"50,000";"-26,000";;1.04.02.33;kg;"1,000";"26,000";"0,000";"120,000";
36;PASTA FRUTILLA 2 Kg;"0,000";"140,000";0;"14,000";"126,000";"120,000";"6,000";;1.04.02.20;kg;"1,000";"6,000";"0,000";"120,000";
37;PASTA ABACAXI 2 Kg;"0,000";"388,000";"600,000";"140,000";"848,000";"300,000";"548,000";;1.04.02.01;kg;"1,000";"548,000";"0,000";"120,000";
38;G.I GIANDUJA 4 Kg;"0,000";"8,000";0;"72,000";"-64,000";"0,000";"-64,000";;1.22.50.02;kg;"1,000";"64,000";"0,000";"0,000";
39;PASTA BANANA 2 Kg;"0,000";"114,000";"600,000";"136,000";"578,000";"200,000";"378,000";;1.04.02.03;kg;"1,000";"378,000";"0,000";"120,000";
40;PASTA CEREJA 2 Kg;"0,000";"194,000";"150,000";"44,000";"300,000";"120,000";"180,000";;1.04.02.08;kg;"1,000";"180,000";"0,000";"120,000";
41;PASTA COCO 2 Kg;"0,000";"192,000";"1.000,000";"94,000";"1.098,000";"400,000";"698,000";;1.04.02.09;kg;"1,000";"698,000";"0,000";"400,000";
42;PASTA FRAMBOESA 2 Kg;"0,000";"294,000";"450,000";"62,000";"682,000";"360,000";"322,000";;1.04.02.18;kg;"1,000";"322,000";"0,000";"120,000";
43;BONIFICADOR 1kg;"0,000";"16,000";"40,000";"21,000";"35,000";"40,000";"-5,000";;1.08.02.33;kg;"1,000";"5,000";"0,000";"10,000";
